From	To
Q15742	NAB2
Q15916	ZBTB6
Q5TA79	LCE2A
Q5TA82	LCE2D
Q8TCP9	FAM200A
Q8WWZ3	EDARADD
Q96B23	C18orf25
Q96JM7	L3MBTL3
Q9BPY3	FAM118B
Q9BYQ4	KRTAP9-2
Q9HCK0	ZBTB26
Q05519	SRSF11
G8H6I3	EECP
O00148	DDX39A
H3BR10	SMLR1
Q96G97	BSCL2
I7GY12	B9838V1
K9JA46	EL52
O00170	AIP
O95433	AHSA1
O95801	TTC4
P31948	STIP1
P53041	PPP5C
Q7L3B6	CDC37L1
Q8IWX7	UNC45B
Q9UHD1	CHORDC1
Q9UIM3	FKBPL
M9QQA5	envV1
O00115	DNASE2
O00116	AGPS
Q9BQQ3	GORASP1
O00139	KIF2A
Q659C4	LARP1B
Q8NE31	FAM13C
Q96EL3	MRPL53
O00141	SGK1
Q9NVA4	TMEM184C
O00144	FZD9
P60369	KRTAP10-3
P21673	SAT1
P82979	SARNP
Q05397	PTK2
Q06265	EXOSC9
Q658W2	DKFZp666O0110
Q6ICU9	SAT1
Q9H2X6	HIPK2
P14136	GFAP
P63272	SUPT4H1
Q32NB8	PGS1
O00154	ACOT7
P43360	MAGEA6
V9HW27	HEL-S-101
O00155	GPR25
O95292	VAPB
Q58DX5	NAALADL2
Q969F0	FATE1
Q9UJ14	GGT7
O00159	MYO1C
O00160	MYO1F
Q00978	IRF9
O00161	SNAP23
O75558	STX11
O76038	SCGN
O95183	VAMP5
P43243	MATR3
P51116	FXR2
P54920	NAPA
Q16623	STX1A
Q6VEQ5	WASH2P
Q9H115	NAPB
O00303	EIF3F
P01583	IL1A
P27694	RPA1
P48454	PPP3CC
P51692	STAT5B
P53779	MAPK10
Q14541	HNF4G
Q16760	DGKD
Q8TAQ5	ZNF420
Q9P1U0	POLR1H
Q9Y2S0	POLR1D
O00167	EYA2
Q15475	SIX1
Q96MA1	DMRTB1
O94966	USP19
Q6IA69	NADSYN1
Q99814	EPAS1
Q9BXN2	CLEC7A
Q9NVR5	DNAAF2
Q9Y2Z0	SUGT1
Q9Y6K9	IKBKG
O00180	KCNK1
Q13488	TCIRG1
O00186	STXBP3
P39023	RPL3
O00189	AP4M1
P0CG12	DERPC
Q96K76	USP47
Q9Y2R4	DDX52
O00193	SMAP
O75533	SF3B1
P01023	A2M
P10074	ZBTB48
P19387	POLR2C
P29353	SHC1
Q13595	TRA2A
Q14703	MBTPS1
Q549U1	HSU53209
Q75N90	FBN3
Q8WWI5	SLC44A1
Q9NV58	RNF19A
Q9P283	SEMA5B
Q9P2H0	CEP126
O00194	RAB27B
P49366	DHPS
Q8TDW5	SYTL5
O00204	SULT2B1
O43704	SULT1B1
O43900	PRICKLE3
P14621	ACYP2
P49888	SULT1E1
P50225	SULT1A1
Q96Q35	FLACC1
O00206	TLR4
O00212	RHOD
Q14623	IHH
Q3MIX3	ADCK5
O00213	APBB1
P04083	ANXA1
O00214	LGALS8
P13798	APEH
O00217	NDUFS8
P55040	GEM
O00221	NFKBIE
P14923	JUP
Q04206	RELA
Q07021	C1QBP
Q8IWZ3	ANKHD1
Q8WVZ9	KBTBD7
O00231	PSMD11
O60383	GDF9
P68104	EEF1A1
Q04724	TLE1
Q13432	UNC119
Q13885	TUBB2A
Q15262	PTPRK
Q5RL73	RBM48
Q68DB7	DKFZp781O1323
Q7L5N1	COPS6
Q99717	SMAD5
Q9H7U1	CCSER2
Q9NPI1	BRD7
Q9Y3C7	MED31
V9HVZ4	HEL-S-162eP
O00232	PSMD12
O00233	PSMD9
O43865	AHCYL1
P62333	PSMC6
Q8IWZ5	TRIM42
Q8NFZ5	TNIP2
Q8TB24	RIN3
Q96JN2	CCDC136
Q9NZQ3	NCKIPSD
O00237	RNF103
P61077	UBE2D3
P61088	UBE2N
P62256	UBE2H
P62837	UBE2D2
Q96B02	UBE2W
Q9H832	UBE2Z
Q9Y2X8	UBE2D4
V9HW41	HEL-S-71
O14544	SOCS6
O15105	SMAD7
O43541	SMAD6
O75995	SASH3
O94844	RHOBTB1
O94921	CDK14
O95747	OXSR1
P10114	RAP2A
P11274	BCR
P11802	CDK4
P13805	TNNT1
P15882	CHN1
P46734	MAP2K3
P57729	RAB38
P57735	RAB25
P61599	NAA20
P61962	DCAF7
P62070	RRAS2
P62826	RAN
P62942	FKBP1A
P62987	UBA52
P68106	FKBP1B
Q04323	UBXN1
Q13153	PAK1
Q13501	SQSTM1
Q13873	BMPR2
Q14D04	VEPH1
Q15052	ARHGEF6
Q3SXY8	ARL13B
Q58WW2	DCAF6
Q5T6F0	DCAF12
Q676U5	ATG16L1
Q6P3X3	TTC27
Q70EL2	USP45
Q7Z6B7	SRGAP1
Q8TAI7	RHEBL1
Q8TAS1	UHMK1
Q8TDR2	STK35
Q92985	IRF7
Q969U6	FBXW5
Q96AE7	TTC17
Q96D21	RASD2
Q9H0C8	ILKAP
Q9H4E5	RHOJ
Q9H4M3	FBXO44
Q9H5K3	POMK
Q9HBH9	MKNK2
Q9NRW1	RAB6B
Q9NW38	FANCL
Q9NYN1	RASL12
Q9NYS0	NKIRAS1
Q9UF11	PLEKHB1
Q9UK99	FBXO3
O00244	ATOX1
O43822	CFAP410
O95749	GGPS1
Q9NWS6	FAM118A
O00254	F2RL2
P00519	ABL1
P06241	FYN
P16333	NCK1
P19174	PLCG1
P46108	CRK
O00257	CBX4
O00264	PGRMC1
O14713	ITGB1BP1
Q71F23	CENPU
Q9Y3D7	PAM16
O00267	SUPT5H
P16104	H2AX
P24928	POLR2A
P57059	SIK1
P62917	RPL8
P62937	PPIA
Q12907	LMAN2
Q13123	IK
Q66LE6	PPP2R2D
Q92561	PHYHIP
Q96IT1	ZNF496
Q9BWW4	SSBP3
Q9H5J0	ZBTB3
Q9NPV6	DKFZp762E1511
Q9P0U0	PC326
Q9UHR5	SAP30BP
Q9UK43	CSA2
Q9Y6D9	MAD1L1
V9HWF5	HEL-S-69p
O00273	DFFA
Q9NRL3	STRN4
O00287	RFXAP
Q12929	EPS8
O00291	HIP1
O14641	DVL2
P42858	HTT
P56537	EIF6
Q00610	CLTC
O00292	LEFTY2
Q9H6R3	ACSS3
O00294	TULP1
O00295	TULP2
O00299	CLIC1
P20292	ALOX5AP
P24539	ATP5PB
P27449	ATP6V0C
P34130	NTF4
P50416	CPT1A
Q08ET0	hCG_39985
Q13162	PRDX4
Q4KMQ1	TPRN
Q93050	ATP6V0A1
Q99676	ZNF184
Q9NR11	ZNF302
V9HW63	HEL-S-97n
O60832	DKC1
Q7L2H7	EIF3M
Q8IWF7	UBE2DNL
O00305	CACNB4
Q12788	TBL3
O43516	WIPF1
O75791	GRAP2
O94855	SEC24D
P09234	SNRPC
P50552	VASP
Q15637	SF1
Q16630	CPSF6
Q3B8N2	LGALS9B
Q8N5I2	ARRDC1
Q8N8A2	ANKRD44
Q92530	PSMF1
Q93009	USP7
Q96ME1	FBXL18
Q9BTC0	DIDO1
Q9BVN2	RUSC1
Q9NR12	PDLIM7
O43913	ORC5
P24298	GPT
P50750	CDK9
Q7L590	MCM10
Q96F82	ORC1L
Q9UBQ7	GRHPR
O00327	ARNTL
Q16665	HIF1A
Q99743	NPAS2
O00329	PIK3CD
O14787	TNPO2
Q9BUT9	MCRIP2
Q9H1I8	ASCC2
Q9UKM9	RALY
O00330	PDHX
P10515	DLAT
O00338	SULT1C2
Q14527	HLTF
Q8IV61	RASGRP3
Q96AP0	ACD
O00339	MATN2
O75081	CBFA2T3
O00341	SLC1A7
O00391	QSOX1
O00399	DCTN6
O00410	IPO5
O15145	ARPC3
O76064	RNF8
O94868	FCHSD2
P00738	HP
P45378	TNNT3
Q13882	PTK6
Q8TF74	WIPF2
Q96J02	ITCH
Q9H8N7	ZNF395
Q9UQB8	BAIAP2
O00409	FOXN3
Q96B26	EXOSC8
Q9Y376	CAB39
O00422	SAP18
O75528	TADA3
P61247	RPS3A
Q0VD86	INCA1
Q9UGY1	NOL12
O00423	EML1
Q9H9L3	ISG20L2
O00425	IGF2BP3
Q8WWB5	PIH1D2
O00429	DNM1L
Q9NTG7	SIRT3
V9HWE1	HEL113
O00443	PIK3C2A
Q4VCS5	AMOT
O00444	PLK4
O14907	TAX1BP3
P31947	SFN
P36575	ARR3
Q14241	ELOA
Q5VWP2	TENT5C
Q8WXW3	PIBF1
Q9NX04	C1orf109
O00445	SYT5
P19388	POLR2E
P62820	RAB1A
O00453	LST1
Q7L622	G2E3
Q8N1I8	CACTIN-AS1
Q8WUQ7	CACTIN
O00458	IFRD1
Q92963	RIT1
O00459	PIK3R2
P01116	KRAS
P08581	MET
P10275	AR
P10721	KIT
P21860	ERBB3
P22681	CBL
P28799	GRN
P35900	KRT20
P40763	STAT3
P49407	ARRB1
Q13480	GAB1
Q8WWB3	DYDC1
Q96HT8	MRFAP1L1
Q9NS15	LTBP3
Q9UKG1	APPL1
Q9UKT9	IKZF3
O00463	TRAF5
P04632	CAPNS1
P50453	SERPINB9
P54725	RAD23A
P55735	SEC13
Q16206	ENOX2
Q52MB2	CCDC184
Q6FIF0	ZFAND6
Q86XP1	DGKH
Q9BZR9	TRIM8
Q9H8Y8	GORASP2
Q9UBI1	COMMD3
Q9Y4K3	TRAF6
Q9Y6R0	NUMBL
O00468	AGRN
O00469	PLOD2
O00470	MEIS1
O43248	HOXC11
O43763	TLX2
Q6PF06	TRMT10B
O00471	EXOC5
P00973	OAS1
P05129	PRKCG
P09104	ENO2
P19022	CDH2
P20338	RAB4A
P56693	SOX10
P61018	RAB4B
P61106	RAB14
P83876	TXNL4A
Q05084	ICA1
Q05D60	DEUP1
Q3B7T1	EDRF1
Q5PSV4	BRMS1L
Q68D86	CCDC102B
Q6PF05	TTC23L
Q86TW2	ADCK1
Q8N4P3	HDDC3
Q96E40	SPACA9
Q99728	BARD1
Q9BQD3	KXD1
Q9P1U1	ACTR3B
Q9UL17	TBX21
Q9ULZ3	PYCARD
O00472	ELL2
O14936	CASK
O00478	BTN3A3
P07711	CTSL
Q9NVJ2	ARL8B
O00479	HMGN4
O00482	NR5A2
O14874	BCKDK
O15514	POLR2D
P02768	ALB
Q96BT3	CENPT
O00487	PSMD14
P51665	PSMD7
Q8IZU0	FAM9B
Q8NDT2	RBM15B
Q8TAK6	OLIG1
Q96CS7	PLEKHB2
Q9C005	DPY30
O00488	ZNF593
P46089	GPR3
Q8TBB1	LNX1
O00499	BIN1
O95295	SNAPIN
P39880	CUX1
P48380	RFX3
Q3LIA3	Nbla10317
O00504	CYRN2
P35527	KRT9
O00505	KPNA3
O43167	ZBTB24
P02792	FTL
P15172	MYOD1
P29317	EPHA2
P32780	GTF2H1
Q00613	HSF1
Q13330	MTA1
Q14764	MVP
Q16236	NFE2L2
Q8TBK6	ZCCHC10
Q8WWX8	SLC5A11
Q92908	GATA6
Q96LM6	TEX37
Q96P16	RPRD1A
Q9BWW8	APOL6
Q9NR30	DDX21
Q9NZL9	MAT2B
Q9UKX7	NUP50
Q9Y247	FAM50B
O00506	STK25
Q8IYA8	IHO1
Q9BUL8	PDCD10
O00519	FAAH
O00522	KRIT1
Q9BSQ5	CCM2
O00526	UPK2
O15034	RIMBP2
O43609	SPRY1
O43681	GET3
O60229	KALRN
O75095	MEGF6
O75953	DNAJB5
O94910	ADGRL1
O95153	TSPOAP1
O95169	NDUFB8
P04275	VWF
P07942	LAMB1
P08708	RPS17
P22307	SCP2
P23142	FBLN1
P26640	VARS1
P29122	PCSK6
P41222	PTGDS
P41732	TSPAN7
P42679	MATK
P46531	NOTCH1
P49750	YLPM1
P62158	CALM1
P62158	CALM2
P62158	CALM3
P62899	RPL31
P98160	HSPG2
Q07954	LRP1
Q07955	SRSF1
Q12805	EFEMP1
Q13427	PPIG
Q14008	CKAP5
Q14152	EIF3A
Q14201	BTG3
Q14766	LTBP1
Q15334	LLGL1
Q15714	TSC22D1
Q5JRA6	MIA3
Q76N89	HECW1
Q7Z5H3	ARHGAP22
Q7Z7M0	MEGF8
Q86SJ2	AMIGO2
Q86UR1	NOXA1
Q8IXH7	NELFCD
Q8IXT5	RBM12B
Q8IZP0	ABI1
Q8N1B4	VPS52
Q8N2S1	LTBP4
Q8NBJ7	SUMF2
Q8NF45	FLJ00353
Q92551	IP6K1
Q92804	TAF15
Q92824	PCSK5
Q92832	NELL1
Q92871	PMM1
Q96A73	KIAA1191
Q96BY2	MOAP1
Q96CW1	AP2M1
Q96G27	WBP1
Q99435	NELL2
Q9BVA1	TUBB2B
Q9BXJ1	C1QTNF1
Q9BZC7	ABCA2
Q9BZL4	PPP1R12C
Q9HCP6	HHATL
Q9NP64	ZCCHC17
Q9NQG1	MANBAL
Q9NZV1	CRIM1
Q9Y219	JAG2
Q9Y4R8	TELO2
V9HWN7	HEL-S-87p
O14735	CDIPT
O15347	HMGB3
O15409	FOXP2
O43586	PSTPIP1
O43805	SSNA1
O43829	ZBTB14
O75506	HSBP1
O95198	KLHL2
O95259	KCNH1
O95379	TNFAIP8
O95544	NADK
O95983	MBD3
P00492	HPRT1
P02489	CRYAA
P05162	LGALS2
P0DMU9	CT45A10
P0DMV0	CT45A7
P13073	COX4I1
P13489	RNH1
P32320	CDA
P32321	DCTD
P35268	RPL22
P48775	TDO2
P49427	CDC34
P49459	UBE2A
P49639	HOXA1
P49760	CLK2
P49761	CLK3
P49902	NT5C2
P51531	SMARCA2
P62312	LSM6
Q01105	SET
Q03393	PTS
Q13257	MAD2L1
Q14565	DMC1
Q14919	DRAP1
Q15717	ELAVL1
Q16629	SRSF7
Q16799	RTN1
Q3LXA3	TKFC
Q53H96	PYCR3
Q59EK9	RUNDC3A
Q5TBC7	BCL2L15
Q6AI12	ANKRD40
Q6PJ22	FLJ13052
Q6ZUT1	NKAPD1
Q719H9	KCTD1
Q7L273	KCTD9
Q8IX15	HOMEZ
Q8N954	GPATCH11
Q8N9N8	EIF1AD
Q8NAV1	PRPF38A
Q8NBZ0	INO80E
Q8NFF5	FLAD1
Q8NHU0	CT45A3
Q8TC92	ENOX1
Q8WW34	TMEM239
Q92882	OSTF1
Q969V4	TEKT1
Q96C92	ENTR1
Q96CG3	TIFA
Q96DZ9	CMTM5
Q96GX9	APIP
Q96HR9	REEP6
Q96JC9	EAF1
Q9GZV4	EIF5A2
Q9H3H3	C11orf68
Q9H5V8	CDCP1
Q9H773	DCTPP1
Q9HAT0	ROPN1
Q9NPJ6	MED4
Q9NPQ8	RIC8A
Q9NQ48	LZTFL1
Q9NTM9	CUTC
Q9NWX6	THG1L
Q9UFW8	CGGBP1
Q9UH03	SEPTIN3
Q9UL42	PNMA2
Q9ULU8	CADPS
Q9UPY8	MAPRE3
V9HW40	HEL-S-25
V9HW60	HEL-S-182mP
O00562	PITPNM1
O00566	MPHOSPH10
P62136	PPP1CA
O00567	NOP56
O00571	DDX3X
O00585	CCL21
P00505	GOT2
O00625	PIR
O00626	CCL22
P02511	CRYAB
P48506	GCLC
Q15034	HERC3
O00628	PEX7
O00629	KPNA4
Q6ZMK1	CYHR1
Q9Y263	PLAA
O00631	SLN
Q8N205	SYNE4
Q9BSE2	TMEM79
P0DMV8	HSPA1A
P0DMV9	HSPA1B
P11142	HSPA8
P40937	RFC5
P54652	HSPA2
P61764	STXBP1
Q6FG85	GC20
Q9UJ04	TSPYL4
V9HW22	HEL-S-72p
O00743	PPP6C
O00746	NME4
O14543	SOCS3
O95777	LSM8
P15531	NME1
P22392	NME2
Q7Z7G1	CLNK
Q8IZW8	TNS4
O00750	PIK3C2B
O00754	MAN2B1
O00755	WNT7A
O00757	FBP2
O00762	UBE2C
P25024	CXCR1
P63316	TNNC1
Q13164	MAPK7
Q3KNV8	PCGF3
Q86Y01	DTX1
Q99848	EBNA1BP2
O14490	DLGAP1
O14492	SH2B2
O14494	PLPP1
Q6P587	FAHD1
O60248	SOX15
O75909	CCNK
O94955	RHOBTB3
P06733	ENO1
P18545	PDE6G
P27482	CALML3
P49842	STK19
Q08426	EHHADH
Q08AM6	VAC14
Q13131	PRKAA1
Q13685	AAMP
Q14106	TOB2
Q16613	AANAT
Q5W5X9	TTC23
Q6NVV7	CDPF1
Q71RC2	LARP4
Q86U06	RBM23
Q96BI3	APH1A
Q9BVI4	NOC4L
Q9GZZ1	NAA50
Q9NX01	TXNL4B
Q9Y5V3	MAGED1
O14508	SOCS2
P04054	PLA2G1B
P35226	BMI1
P53365	ARFIP2
P55327	TPD52
O14513	NCKAP5
P52735	VAV2
O14514	ADGRB1
O14519	CDK2AP1
O14522	PTPRT
O14526	FCHO1
Q8TCE9	LGALS14
Q9NQT4	EXOSC5
O14530	TXNDC9
O14901	KLF11
O95163	ELP1
P0C7W6	CCDC172
P15173	MYOG
Q16891	IMMT
Q53QU8	TIEG2
Q6ZUJ4	C3orf62
Q99689	FEZ1
O14531	DPYSL4
Q16555	DPYSL2
Q16827	PTPRO
Q99962	SH3GL2
Q99963	SH3GL3
O15530	PDPK1
P07947	YES1
P27348	YWHAQ
P38159	RBMX
P56159	GFRA1
P62424	RPL7A
Q13061	TRDN
Q13323	BIK
Q15759	MAPK11
Q8N8K9	KIAA1958
Q96EP0	RNF31
Q9NP31	SH2D2A
Q9UGI8	TES
Q9UP52	TFR2
O43559	FRS3
Q8NF64	ZMIZ2
Q96FK6	WDR89
O14545	TRAFD1
Q96IV0	NGLY1
O14548	COX7A2L
O14556	GAPDHS
Q9P0V3	SH3BP4
O14559	ARHGAP33
O14561	NDUFAB1
Q16540	MRPL23
Q96H35	RBM18
Q9H0P0	NT5C3A
Q9H7B4	SMYD3
O14569	CYB561D2
O14576	DYNC1I1
Q6MZZ3	DKFZp686I0746
Q96FJ2	DYNLL2
Q9NP97	DYNLRB1
O14579	COPE
P53621	COPA
O14595	CTDSP2
Q99618	CDCA3
O14602	EIF1AY
O14604	TMSB4Y
O14607	UTY
P32119	PRDX2
V9HW12	HEL-S-2a
O14613	CDC42EP2
Q9UNA1	ARHGAP26
O14617	AP3D1
O14625	CXCL11
O14627	CDX4
O43741	PRKAB2
P25791	LMO2
P25800	LMO1
P78337	PITX1
O14628	ZNF195
O14639	ABLIM1
Q8WZ42	TTN
O14640	DVL1
Q86WT6	TRIM69
Q92995	USP13
Q96FS4	SIPA1
Q9H0R4	HDHD2
V9HW73	HEL-S-301
O14978	ZNF263
O60739	EIF1B
O95551	TDP2
P06753	TPM3
P15622	ZNF250
P19544	WT1
P26368	U2AF2
P41182	BCL6
P42768	WAS
P45974	USP5
P49674	CSNK1E
P49910	ZNF165
P56545	CTBP2
Q13895	BYSL
Q15287	RNPS1
Q15750	TAB1
Q7Z7J5	DPPA2
Q8IYF1	ELOA2
Q8N4T4	ARHGEF39
Q8N5A5	ZGPAT
Q8N5R6	CCDC33
Q8N684	CPSF7
Q8N7W2	BEND7
Q8TAD8	SNIP1
Q8TAP4	LMO3
Q8TBE0	BAHD1
Q8WTU0	DDI1
Q8WWY3	PRPF31
Q96A72	MAGOHB
Q96BN8	OTULIN
Q96EZ8	MCRS1
Q96GG9	DCUN1D1
Q96H20	SNF8
Q96RL1	UIMC1
Q96T49	PPP1R16B
Q99996	AKAP9
Q9BQY4	RHOXF2
Q9BWG6	SCNM1
Q9BXS5	AP1M1
Q9BZM1	PLA2G12A
Q9H0I2	ENKD1
Q9H1M0	NUP62CL
Q9NWB1	RBFOX1
Q9UNA4	POLI
O14645	DNALI1
Q9NUQ8	ABCF3
O14647	CHD2
O75386	TULP3
O14653	GOSR2
O43752	STX6
Q08AF8	GOLGA8F
Q08AF8	GOLGA8G
Q0D2H9	GOLGA8DP
Q12846	STX4
O15460	P4HA2
O60884	DNAJA2
P04792	HSPB1
P07858	CTSB
P13674	P4HA1
P31946	YWHAB
Q04917	YWHAH
Q08E93	FAM27E3
Q15293	RCN1
Q71U36	TUBA1A
Q92538	GBF1
Q93008	USP9X
Q96D09	GPRASP2
Q96EY1	DNAJA3
Q9BUF5	TUBB6
Q9BZK7	TBL1XR1
Q9H078	CLPB
Q9NNW5	WDR6
Q9ULX6	AKAP8L
Q9UNF1	MAGED2
Q9Y2I1	NISCH
O14656	TOR1A
O14662	STX16
Q05209	PTPN12
O14669	PRRG2
O14678	ABCD4
Q15121	PEA15
O14681	EI24
O14682	ENC1
O14683	TP53I11
O14686	KMT2D
O14709	ZNF197
Q9GZM8	NDEL1
Q9NRI5	DISC1
O60443	GSDME
P46939	UTRN
Q6PIW4	FIGNL1
Q8WV83	SLC35F5
O14717	TRDMT1
P62318	SNRPD3
Q04446	GBE1
Q6P4R8	NFRKB
Q9BVJ6	UTP14A
Q9GZR7	DDX24
Q9UPU7	TBC1D2B
O14718	RRH
O14730	RIOK3
O43521	BCL2L11
Q13177	PAK2
Q68CJ9	CREB3L3
O14732	IMPA2
P29218	IMPA1
P40227	CCT6A
Q15011	HERPUD1
Q8TBC4	UBA3
Q92956	TNFRSF14
O14733	MAP2K7
P18848	ATF4
O14734	ACOT8
O95197	RTN3
O14737	PDCD5
O95989	NUDT3
O14744	PRMT5
O15479	MAGEB2
O95391	SLU7
P08621	SNRNP70
P09017	HOXC4
P54105	CLNS1A
Q12874	SF3A3
Q15910	EZH2
Q5HYJ3	FAM76B
Q6NXT2	H3-5
Q8N163	CCAR2
Q8N8U2	CDYL2
Q8TE85	GRHL3
Q8WVJ2	NUDCD2
Q8WYH8	ING5
Q96AP4	ZUP1
Q96PV6	LENG8
Q96RU7	TRIB3
Q99932	SPAG8
Q9BQA1	WDR77
Q9BSG1	ZNF2
Q9BUV0	RSRP1
Q9BX10	GTPBP2
Q9BYZ2	LDHAL6B
Q9C0F3	ZNF436
Q9NQ29	LUC7L
Q9NTK5	OLA1
Q9NWB6	ARGLU1
Q9UFS1	DKFZp434N041
O14745	SLC9A3R1
O95999	BCL10
P15311	EZR
Q16548	BCL2A1
Q5VIY5	ZNF468
O14753	OVOL1
Q9ULX9	MAFF
O14757	CHEK1
Q9H3S5	PIGM
O14764	GABRD
Q14129	DGCR6
Q9HBZ2	ARNT2
Q9UJX0	OSGIN1
P53602	MVD
Q14209	E2F2
Q15406	NR6A1
Q99471	PFDN5
Q9UHV9	PFDN2
O14776	TCERG1
Q8N2W9	PIAS4
O14777	NDC80
O95229	ZWINT
P04259	KRT6B
P40222	TXLNA
P48047	ATP5PO
P55081	MFAP1
Q13625	TP53BP2
Q15025	TNIP1
Q15154	PCM1
Q6ZNE9	RUFY4
Q86XK3	SFR1
Q96ES7	SGF29
Q9BZD4	NUF2
Q9HBM1	SPC25
Q9NXR1	NDE1
O14782	KIF3C
O14786	NRP1
P61353	RPL27
O95988	TCL1B
Q13557	CAMK2D
Q96PV4	PNMA5
O75448	MED24
O95248	SBF1
O95865	DDAH2
Q86WB0	ZC3HC1
Q8IZ69	TRMT2A
Q8TAM1	BBS10
Q8TBF2	PRXL2B
Q9H814	PHAX
Q9NYL9	TMOD3
V9HW53	HEL-S-277
O14791	APOL1
O14795	UNC13B
Q96GM8	TOE1
O14796	SH2D1B
Q06830	PRDX1
Q14765	STAT4
O14798	TNFRSF10C
P02647	APOA1
Q8N5W9	RFLNB
O14802	POLR3A
Q9H6T3	RPAP3
O14807	MRAS
Q15369	ELOC
O14810	CPLX1
O14817	TSPAN4
O14818	PSMA7
P25787	PSMA2
P55072	VCP
Q9HC96	CAPN10
V9HW80	HEL-S-70
O14827	RASGRF2
O14829	PPEF1
O14832	PHYH
O14836	TNFRSF13B
O14841	OPLAH
O14862	AIM2
O14867	BACH1
O15525	MAFG
O60675	MAFK
P15336	ATF2
P18846	ATF1
Q02930	CREB5
Q9UJX4	ANAPC5
Q9Y5Q3	MAFB
O14879	IFIT3
P02649	APOE
P05067	APP
P09913	IFIT2
P09914	IFIT1
P10632	CYP2C8
P36776	LONP1
P49810	PSEN2
Q0P5U8	FLJ90650
Q13325	IFIT5
Q6Q4G3	LVRN
Q8IXX5	TMEM183A
Q9BQ95	ECSIT
Q9Y2H9	MAST1
O14880	MGST3
P00742	F10
P24863	CCNC
O14893	GEMIN2
O14896	IRF6
P10909	CLU
Q9Y5L4	TIMM13
P15976	GATA1
Q14134	TRIM29
Q15560	TCEA2
O14908	GIPC1
Q9H9D4	ZNF408
O14910	LIN7A
Q13368	MPP3
Q14168	MPP2
Q8N3R9	PALS1
O14917	PCDH17
O14920	IKBKB
Q92754	TFAP2C
O14929	HAT1
Q09028	RBBP4
Q13829	TNFAIP1
O14933	UBE2L6
O43164	PJA2
Q13233	MAP3K1
Q17RB8	LONRF1
Q7Z419	RNF144B
Q969V5	MUL1
Q96BH1	RNF25
Q9H9V4	RNF122
Q9NS56	TOPORS
Q9ULK6	RNF150
Q9Y675	SNURF
V9HWE8	HEL-S-47e
O95395	GCNT3
P35354	PTGS2
P51452	DUSP3
P55198	MLLT6
P56192	MARS1
P56706	WNT7B
Q13261	IL15RA
Q14116	IL18
Q15366	PCBP2
Q6IN85	PPP4R3A
Q7Z656	DKFZp779C185
Q8IYM9	TRIM22
Q8N6W1	SMEK1
Q99572	P2RX7
Q9NYY3	PLK2
P09651	HNRNPA1
Q9H1M4	DEFB127
O14949	UQCRQ
Q13216	ERCC8
O14957	UQCR11
P09544	WNT2
O15481	MAGEB4
O43513	MED7
O75478	TADA2A
O75934	BCAS2
P02538	KRT6A
P33240	CSTF2
Q6IAZ5	CRSP9
Q7Z3B4	NUP54
Q7Z3K3	POGZ
Q7Z4N8	P4HA3
Q8IW40	CCDC103
Q8IYI6	EXOC8
Q8IYX8	CEP57L1
Q92783	STAM
Q96HW7	INTS4
Q96PU5	NEDD4L
Q99732	LITAF
Q9BUB5	MKNK1
Q9H0L4	CSTF2T
Q9P2B4	CTTNBP2NL
Q9UBV8	PEF1
Q9UNH6	SNX7
O14965	AURKA
O95274	LYPD3
P11245	NAT2
P55290	CDH13
Q8IZY5	BLID
Q92748	THRSP
Q96J88	EPSTI1
Q96JY6	PDLIM2
Q96QR1	SCGB3A1
Q9BTC8	MTA3
Q9BY76	ANGPTL4
Q9HCY8	S100A14
Q9P2W1	PSMC3IP
Q9UBP4	DKK3
Q9UJM3	ERRFI1
Q9Y337	KLK5
Q9Y5W5	WIF1
O14966	RAB29
Q9UK45	LSM7
O14967	CLGN
P51811	XK
Q9NZC3	GDE1
O14972	VPS26C
O14974	PPP1R12A
Q12913	PTPRJ
O14976	GAK
O15169	AXIN1
O60763	USO1
O14977	AZIN1
Q07666	KHDRBS1
Q8N142	ADSS1
Q92887	ABCC2
Q9UMX2	OAZ3
P57086	SCAND1
Q8NBB4	ZSCAN1
Q9NWQ4	GPATCH2L
Q9NWS9	ZNF446
Q9NZD8	SPG21
Q9NZG6	RAZ1
Q9UFF2	DKFZp434L2027
Q9UMX1	SUFU
Q9Y4C2	TCAF1
O14980	XPO1
O43566	RGS14
P30304	CDC25A
P38646	HSPA9
P80303	NUCB2
Q02818	NUCB1
O14981	BTAF1
Q9NQM4	DNAAF6
O14983	ATP2A1
O15014	ZNF609
O15015	ZNF646
Q13976	PRKG1
Q7Z589	EMSY
O15018	PDZD2
Q9ULB1	NRXN1
O15020	SPTBN2
O15021	MAST4
O15031	PLXNB2
O15033	AREL1
P46109	CRKL
O15037	KHNYN
O15042	U2SURP
O60343	TBC1D4
P52756	RBM5
P98175	RBM10
Q7Z3D7	DKFZp686E2459
Q86XP3	DDX42
Q8WYA6	CTNNBL1
Q96I25	RBM17
O15047	SETD1A
P18428	LBP
O15049	N4BP3
O15054	KDM6B
O15056	SYNJ2
O15062	ZBTB5
O15156	ZBTB7B
O43602	DCX
P54829	PTPN5
Q11203	ST3GAL3
Q9NQC1	JADE2
Q9UH65	SWAP70
O15066	KIF3B
O15068	MCF2L
Q13155	AIMP2
Q9NRH1	YAE1
O15069	NACAD
P42677	RPS27
Q12851	MAP4K2
O15078	CEP290
Q9BUW7	BBLN
